ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
,Standard Torque Transfer Wrench Model: TW-MCS01,? 20 N?m,"DAkkS-DKD-R 3-7
Class 0.2","174,400/piece","1. Temperature compensation on zero signal
2. Temperature compensation on span signal
3. Zero balance
4. Measurement and check signals",10040-20604
,Standard Torque Transfer Wrench Model: TW-MCS01,? 50 N?m,"DAkkS-DKD-R 3-7
Class 0.2","180,600/piece","1. Temperature compensation on zero signal
2. Temperature compensation on span signal
3. Zero balance
4. Measurement and check signals",10040-20604
,Standard Torque Transfer Wrench Model: TW-MCS01,? 200 N?m,"DAkkS-DKD-R 3-7
Class 0.2","196,750/piece","1. Temperature compensation on zero signal
2. Temperature compensation on span signal
3. Zero balance
4. Measurement and check signals",10040-20604
,Standard Torque Transfer Wrench Model: TW-MCS01,? 500 N?m,"DAkkS-DKD-R 3-7
Class 0.2","214,050/piece","1. Temperature compensation on zero signal
2. Temperature compensation on span signal
3. Zero balance
4. Measurement and check signals",10040-20604
,Standard Torque Transfer Wrench Model: TW-MCS01,"? 2,000 N?m","DAkkS-DKD-R 3-7
Class 0.2","281,350/piece",Standard Option,10040-20604
,Standard Torque Transfer Wrench Model: TW-MCS01,"? 1,000 N?m","DAkkS-DKD-R 3-7
Class 0.2","228,000/piece","1. Temperature compensation on zero signal
2. Temperature compensation on span signal
3. Zero balance
4. Measurement and check signals",10040-20604
,"Static Torque Calibration devices
'- Torque Wrench Calibration Devices","1 N·m to 1,000 N·m,
Sensor and Connection profile rotatable, target uncertainty <0.5%","DKD-R 10-8, 0.2%","18,750/range",,10040-30310
,"Static Torque Calibration devices
'- Torque Wrench Calibration Devices","1 N?m to 1,000 N?m,
Sensor and Connection profile rotatable, target uncertainty ?0.5%","DKD-R 10-8, 0.2%","12,650/range",,10040-30311
,"Static Torque Calibration devices
'- Torque Wrench Calibration Devices","1 N·m to 1,000 N·m,
Sensor rotatable and Connection profile fixed, target uncertainty <0.5%","DKD-R 10-8, 0.2%","12,650/range",,10040-30312
,"Static Torque Calibration devices
'- Torque Wrench Calibration Devices","1 N?m to 1,000 N?m,
Sensor rotatable and Connection profile fixed, target uncertainty ?0.5%","DKD-R 10-8, 0.2%","6,550/range",,10040-30313
,"Static Torque Calibration devices
'- Torque Wrench Calibration Devices","1 N·m to 1,000 N·m,
Sensor fixed and Connection profile rotatable, target uncertainty <0.5%","DKD-R 10-8, 0.2%","18,750/range",,10040-30314
,"Static Torque Calibration devices
'- Torque Wrench Calibration Devices","1 N?m to 1,000 N?m,
Sensor fixed and Connection profile rotatable, target uncertainty ?0.5%","DKD-R 10-8, 0.2%","12,650/range",,10040-30315
,"Static Torque Calibration devices
'- Torque Wrench Calibration Devices","1 N·m to 1,000 N·m,
Sensor and Connection profile fixed, target uncertainty <0.5%","DKD-R 10-8, 0.2%","12,650/range",,10040-30316
,"Static Torque Calibration devices
'- Torque Wrench Calibration Devices","1 N?m to 1,000 N?m,
Sensor and Connection profile fixed, target uncertainty ?0.5%","DKD-R 10-8, 0.2%","6,550/range",,10040-30317
,Endurance testing mchaine - Tyre load,"At Load index, LI = 0 to 121 (TLCC = 46 kgf to 1,450 kgf) and At Load index, LI = 122 to 279 (TLCC = 1,500 kgf to 136,000 kgf)","0.047 % for increasing force only
0.35 % for increasing and decreasing force","

12,500/range/direction","UN Regulation No. 30,
UN Regulation No. 54, 
UN Regulation No. 75 
and 
ÁÍ¡. 2718-2560, 
ÁÍ¡. 2719-2560, 
ÁÍ¡. 2720-2560",10040-30905
,Endurance testing mchaine  - Surface speed,0 km/h to 300 km/h,0.20 km/h,"6,250 / Direction","UN Regulation No. 30,
UN Regulation No. 54, 
UN Regulation No. 75 
and 
ÁÍ¡. 2718-2560, 
ÁÍ¡. 2719-2560, 
ÁÍ¡. 2720-2560",10040-30906
,Endurance testing mchaine  - Drum diameter,"1,700 mm and 2,000 mm",0.15 mm,9350,"UN Regulation No. 30,
UN Regulation No. 54, 
UN Regulation No. 75 
and 
ÁÍ¡. 2718-2560, 
ÁÍ¡. 2719-2560, 
ÁÍ¡. 2720-2560",10040-30907
,Wheel deviation measurement system  - Run-out (vertical run-out and horizontal run-out),0 mm to ± 2.5 mm,"Vertical run-out = 0.50 mm 
Horizontal run-out = 0.50 mm ",5000,ÁÍ¡. 2207-2562,10040-31001
,"Rockwell Scale : HRA, HRB, HRC","10 HRBW  to 100 HRBW
20 HRC to 70 HRC","0.40 HRBW
0.40 HRC",,by client.,10050 - 10101
,Rockwell Scale : HR30TW,29 HR30TW to 82 HR30TW,0.40 HR30TW,"9,350/piece",,10050 - 10101
,Vickers : HV according to ISO 6508-3,"HV 5, HV 10, HV 20, HV 30, HV 50, HV 100",,"7,250/piece",,10050 - 10201
,Elastomer Hardness Testing Machine,Durometer Type C,ASTM D2240,"8,550/machine",,10050 - 10302
,Elastomer Hardness Testing Machine,Durometer Type AO,"According to ISO48-9, ASTM D2240, JIS K6253, JIS K7215, JIS K6301, DIN 53505","8,550/machine",,10050 - 10302
,Elastomer Hardness Testing Machine,Durometer Type D,"According to ISO48-9, ASTM D2240, JIS K6253, JIS K7215, JIS K6301, DIN 53505","8,550/machine",,10050 - 10302
,Elastomer Hardness Testing Machine,Durometer Type A,"According to ISO48-9, ASTM D2240, JIS K6253, JIS K7215, JIS K6301, DIN 53505","8,550/machine",,10050 - 10302
,Elastomer Hardness Testing Machine,IRHD-M,"According to ISO48-9, ASTM D2240, JIS K6253, JIS K7215, JIS K6301, DIN 53505","8,550/machine",,10050 - 10302
,Elastomer Hardness Testing Machine,IRHD Pocket,"According to ISO48-9, ASTM D2240, JIS K6253, JIS K7215, JIS K6301, DIN 53505","8,550/machine",,10050 - 10302
,Elastomer Hardness Testing Machine,IRHD-N,"According to ISO48-9, ASTM D2240, JIS K6253, JIS K7215, JIS K6301, DIN 53505","8,550/machine",,10050 - 10302
,Brinell Scale: HB,HBW 5/750,"1.2% of HBW 
for Force 7.355 kN (750 kgf)","6,250/piece",,10050 - 10401
,Brinell Scale: HB,HBW 10/500,"1.2% of HBW 
for Force 4.903 kN (500 kgf)","7,800/piece",,10050 - 10401
,Brinell Scale: HB,HBW 10/3000,"0.6% of HBW 
for Force 29.42 kN (3,000 kgf)","7,800/piece",,10050 - 10401
,Vickers : HV according to ISO 6508-3,HV 0.1,,"7,250/piece",,10050 - 10501
,"Certified Reference Block Rockwell Scale : HRA, HRB, HRC",20 HRA to 95 HRA,0.40 HRA,"13,670/piece",,10050 - 20101
,"Certified Reference Block Rockwell Scale : HRA, HRB, HRC",20 HRC to 65 HRC,0.40 HRC,"13,670/piece",,10050 - 20101
,Rockwell Scale : HR30TW,29 HR30TW to 82 HR30TW,0.40 HR30TW,"17,500/piece",,10050 - 20101
,"Certified Reference Block Rockwell Scale : HRA, HRB, HRC",10 HRBW  to 100 HRBW,0.40 HRBW,"13,670/piece",,10050 - 20101
,Vickers : HV ,"HV 5, HV 10, HV 20, HV 30, HV 50, HV 100",,"25,400/piece",,10050 - 20201
,V-notch Charpy Impact CRM,30 J ± 10 J,According to ISO148-3,"18,530/set",,10050 - 20301
,V-notch Charpy Impact CRM,100 J ± 10 J,According to ISO148-3,"18,530/set",,10050 - 20302
,Callibration of metellic -charpy pendulum Testing Machine,Low(<40J) and high (?40J)energy ,According to ISO148-2,81250,,10050 - 20303
,Brinell Scale: HB,HBW 10/3000,"0.6% of HBW 
for Force 29.42 kN (3,000 kgf)","21,100/piece",,10050 - 20401
,Brinell Scale: HB,HBW 10/500,"1.2% of HBW 
for Force 4.903 kN (500 kgf)","21,100/piece",,10050 - 20401
,Brinell Scale: HB,HBW 5/750,"1.2% of HBW 
for Force 7.355 kN (750 kgf)","18,750/piece",,10050 - 20401
,Vickers : HV,HV 0.1,,"32,800/piece",,10050 - 20501
,Extensometer,Gauge length up to 200 mm,According to  ISO 9513,"3,910",/scale  ,10050 - 30001
,"Callibration of Testing Machine
Rockwell Hardness Testing Machine
 - direct and indirect verification
 - indirect verification
 - diamond indenter verification
 -  ball indenter verification",70 HR15N to 94 HR15N,According to ISO 6508-2,6100,/machine/scale /scale,10050 - 30102
,"Callibration of Testing Machine
Rockwell Hardness Testing Machine
 - direct and indirect verification
 - indirect verification
 - diamond indenter verification
 -  ball indenter verification",42 HR30N to 86 HR30N,According to ISO 6508-2,1250,/machine/scale /scale,10050 - 30102
,"Callibration of Testing Machine
Rockwell Hardness Testing Machine
 - direct and indirect verification
 - indirect verification
 - diamond indenter verification
 -  ball indenter verification",67 HR15TW to 93 HR15TW,According to ISO 6508-2,1250,/machine/scale /scale,10050 - 30102
,"Callibration of Testing Machine
Rockwell Hardness Testing Machine
 - direct and indirect verification
 - indirect verification
 - diamond indenter verification
 -  ball indenter verification",29 HR30TW to 82 HR30TW,According to ISO 6508-2,1250,/machine/scale /scale,10050 - 30102
,"Callibration of Testing Machine
Rockwell Hardness Testing Machine
 - direct and indirect verification
 - indirect verification
 - diamond indenter verification
 -  ball indenter verification",70 HREW to 100 HREW,According to ISO 6508-2,1250,/machine/scale /scale,10050 - 30102
,"Callibration of Testing Machine
Rockwell Hardness Testing Machine
 - direct and indirect verification
 - indirect verification
 - diamond indenter verification
 -  ball indenter verification",20 HRA to 95 HRA,According to ISO 6508-2,10550,/machine/scale /scale,10050 - 30102
,"Callibration of Testing Machine
Rockwell Hardness Testing Machine
 - direct and indirect verification
 - indirect verification
 - diamond indenter verification
 -  ball indenter verification",10 HRBW to 100 HRBW,According to ISO 6508-2,10550,/machine/scale /scale,10050 - 30102
,"Callibration of Testing Machine
Rockwell Hardness Testing Machine
 - direct and indirect verification
 - indirect verification
 - diamond indenter verification
 -  ball indenter verification",20 HRC to 70 HRC,According to ISO 6508-2,4370,/machine/scale /scale,10050 - 30102
,#NAME?,Scale B,MH01.1,"12,150",,10050 - 30103
,#NAME?,"Tip angle 0°,90°, 136°
Line of conjunction 0 to 5 µm","± 0.15°
  ± 0.2 µm",12500,,10050 - 30202
,"Calibration of Testing Machine
Vickers Hardness Testing Machine","
HV 0.2, HV 0.3, HV 0.5, HV 1, HV 5, HV 10, HV 20, HV 30, HV 50","
According to ISO 6507-2",10550,,10050 - 30202
,#NAME?,"
HV 0.2, HV 0.3, HV 0.5, HV 1, HV 5, HV 10, HV 20, HV 30, HV 50","
According to ISO 6507-2",10550,/machine/scale /scale,10050 - 30202
,#NAME?,"
HV 0.2, HV 0.3, HV 0.5, HV 1, HV 5, HV 10, HV 20, HV 30, HV 50","
According to ISO 6507-2",4370,,10050 - 30202
,#NAME?,Scale C,MH01.2,"12,150",,10050 - 30203
,#NAME?,"Rockwell Scale A, B and C",MH03,"12,150",,10050 - 30303
,#NAME?,"HBW 2.5/62.5, HBW 2.5/31.25, HBW 2.5/15.625",According to ISO 6506-2,4370,/machine/scale /scale,10050 - 30402
,#NAME?,"HBW 5/750, HBW 5/125, HBW 5/62.5",According to ISO 6506-2,10550,/machine/scale /scale,10050 - 30402
,"Callibration of Testing Machine
Brinell Hardness testing machine","HBW 10/3000, HBW 10/500, HBW 10/100",According to ISO 6506-2,10550,/machine/scale /scale,10050 - 30402
,#NAME?,HBW 1/30,According to ISO 6506-2,1250,/machine/scale /scale,10050 - 30402
,#NAME?,HV 5,MH02.1,"10,300",,10050 - 30403
,Mooney Viscometer,All range,According to  ISO 289,"25,000",/machine,10050 - 30602
,#NAME?,Scale R,MH01.3,"12,250",Plastic artifacts shall be provided by client,10050 - 30803
,Speed for material testing machines,"Speed 0.05 mm/Min to 2,500 mm/Min.",According to ,"6,250",/speed,10050 - 30902
,#NAME?,Brinell HBW 10/3000,MH05.1,"6,850",,10050 - 30903
,#NAME?,Vickers HV 10,MH04.4,"6,850",,10050 - 31103
,#NAME?,Vickers HV 0.3,MH04.1,"6,850",,10050 - 31203
,#NAME?,HV 10,MH02.2,"10,300",,10050 - 31403
,#NAME?,HV 30,MH02.3,"10,300",,10050 - 31503
,#NAME?,Vickers HV 1,MH04.2,"6,850",,10050 - 31603
,#NAME?,Vickers HV 5,MH04.3,"6,850",,10050 - 31703
,#NAME?,Scale A,MH01.4,"34,000",,10050 - 31803
,#NAME?,Scale 30N,MH01.5,"34,000",,10050 - 31903
,#NAME?,Scale 30TW,MH01.6,"34,000",,10050 - 32003
,#NAME?,Rockwell Scale 15N,MH03.4,"10,950",,10050 - 32103
,#NAME?,Rockwell Scale 30N,MH03.5,"10,950",,10050 - 32203
,#NAME?,Rockwell Scale A,MH03.1,"6,850",,10050 - 32303
,#NAME?,Rockwell Scale B,MH03.2,"6,850",,10050 - 32403
,#NAME?,Rockwell Scale C,MH03.3,"6,850",,10050 - 32503
,#NAME?,Rockwell Scale 15TW,MH03.6,"10,950",,10050 - 32603
,#NAME?,Rockwell Scale 30TW,MH03.7,"10,950",,10050 - 32703
,#NAME?,Vickers HV 0.1,MH04.5,"16,700",,10050 - 32803
,#NAME?,Vickers HV 0.2,MH04.6,"16,700",,10050 - 32903
,#NAME?,Vickers HV 0.5,MH04.7,"16,700",,10050 - 33003
,Vickers : HV **According to ASTM E92,"HV10, HV 20",,"17,500/piece",,10050-10206
,Vickers : HV  According to ASTM E92,"HV10, HV 20",,"26,250/piece",,10050-20206
,Calibration of Rockwell standard machine.,"Scale A, B, C, E, 30N, 30T, 15N, 15T",According to  ISO6508-3,"32,000",/machine/scale,10050-30105
,Calibration of Rockwell standard machine.,"Scale A, B, C, E, 30N, 30T, 15N, 15T",,"5,620",/additional scale,10050-30105
,Calibration of Vickers standard machine.,"scale HV 5, HV 10, HV 20, HV 30 and HV 50","According to ISO6507-3
0.08 % for test force
0.1 s for testing cycle 
0.4 ?m for measuring system","32,000",/machine/scale,10050-30205
,Calibration of Vickers standard machine.,,,"6,250",/additional scale,10050-30205
,Calibration of Brinell standard machine.,,,"5,750",/additional scale,10050-30305
,Calibration of Brinell standard machine.,"HBW 10/3000, HBW 10/1500, HBW 10/1000, HBW 10/500, HBW 10/250, HBW 10/100, HBW 5/750, HBW 5/250, HBW 5/125, HBW 5/62.5, HBW 5/25, HBW 2.5/187.5, HBW 2.5/62.5, HBW 2.5/31.25, HBW 2.5/15.625, HBW 2.5/6.25, HBW 1/30, HBW 1/10, HBW1/5, HBW 1/2.5, HBW 1/1","According to 
ISO6506-3","33,000",/machine/scale,10050-30305
,Calibration of Vickers standard machine.,"scale HV 0.2, HV 0.3,  HV 0.5 and HV 1","According to ISO6507-3
0.08 % for test force
0.1 s for testing cycle 
0.4 ?m for measuring system","32,000",/machine/scale,10050-30505
,Calibration of Vickers standard machine.,,,"7,100",/additional scale,10050-30505
,Melt flow index tester (Extrusion plastometer),All range,According to ASTM D1238,"15,000",/machine,10050-30702
,"Displacement Measuring Systems and
Devices Used in Material Testing Machines","Displacement length up to 2,000 mm.",According to  ASTM E2309/E2309M-16,"6,250",/machine,10050-30802
,Gas Pressure Balances,Up to 7 MPa,> 5x10-4 x Pe to 1x10-4 x Pe,50000,1. Price per 1 piston & ,10060 - 10101
,Gas Pressure Balances,Up to 7 MPa,< 1x10-4 x Pe,50000,cylinder assembly,10060 - 10102
,Gas Pressure Balances,>7 MPa to 40 MPa,> 5x10-4 x Pe,55000,2. Calibration of weight ,10060 - 10103
,Gas Pressure Balances,,5x10-4 x Pe to 1x10-4 x Pe,55000,set is included.   ,10060 - 10104
,Gas Pressure Balances,,< 1x10-4 x Pe,55000,,10060 - 10105
,Hydraulic Pressure Balances,Up to 200 MPa ,> 5x10-4 x Pe to 1x10-4 x Pe,50000,1. Price per 1 piston & ,10060 - 10201
,Hydraulic Pressure Balances,,< 1x10-4 x Pe,50000,cylinder assembly,10060 - 10202
,Hydraulic Pressure Balances,> 200 MPa to 500 MPa,> 5x10-4 x Pe to 2x10-4 x Pe,60000,2. Calibration of weight ,10060 - 10203
,Hydraulic Pressure Balances,,< 2x10-4 x Pe,60000,set is included.   ,10060 - 10204
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",- 1 kPa to 0 kPa,> 6 x 10-3 x Pe,"3,750/range",,10060 - 10301
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,6x10-3 x Pe to 1x10-3 x Pe,"5,000/range",,10060 - 10302
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,"< 1x10-3 x Pe, but not smaller than 0,003 mbar ","6,250/range",,10060 - 10303
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",0 kPa to 3 kPa,> 6x10-3 x Pe,"3,750/range",,10060 - 10304
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,6x10-3 x Pe to 1x10-3 x Pe,"5,000/range",,10060 - 10305
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,"< 1x10-3 x Pe, but not smaller than 0.003 mbar","6,300/range",,10060 - 10306
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",10 kPa to 7 MPa,> 6x10-3 x Pe,"4,070/range",,10060 - 10307
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ","1,5 kPa to 7 MPa",6x10-3 x Pe to 1x10-3 x Pe,"6,250/range",,10060 - 10308
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,< 1x10-3 x Pe,"7,500/range",,10060 - 10309
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",> 7 MPa to 100 MPa,> 6x10-3 x Pe,"7,040/range",,10060 - 10310
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,6x10-3 x Pe to 1x10-3 x Pe,"9,850/range",,10060 - 10311
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,< 1x10-3 x Pe,"12,670/range",,10060 - 10312
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",0 kPa to –100 kPa,Not smaller than 0.2 mbar,"8,750/range",,10060 - 10313
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,Not smaller than 1 mbar,"4,070/range",,10060 - 10314
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",0 kPa to -15 kPa,> 1x10-3 x Pe,"8,750/range",,10060 - 10315
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,< 1x10-3 x Pe,"11,250/range",,10060 - 10316
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",0 kPa to 15 kPa,> 1x10-3 x Pe,"8,750/range",,10060 - 10317
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,< 1x10-3 x Pe,"11,250/range",,10060 - 10318
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",- 4 kPa to 4 kPa,> 6x10-3 x Pe,"3,750/range",,10060 - 10323
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,6x10-3 x Pe to 1x10-3 x Pe,"5,000/range",,10060 - 10324
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)                                 ",,"< 1x10-3 x Pe, but not smaller than 0.003 mbar","6,300/range",,10060 - 10325
,"Gas Pressure Measuring Instruments (absolute pressure, Pabs)                                 ",80 kPa to 115 kPa,< 1x10-3 x Pabs,"8,750/range",,10060 - 10401
,"Gas Pressure Measuring Instruments (absolute pressure, Pabs)                                 ",,Not smaller than 0.35 mbar,"4,230/range",,10060 - 10402
,"Gas Pressure Measuring Instruments (absolute pressure, Pabs)                                 ",2 kPa to 7 MPa,Not smaller than 0.35 mbar,"4,230/range",,10060 - 10403
,"Gas Pressure Measuring Instruments (absolute pressure, Pabs)                                 ","1,5 kPa to 40 MPa",> 1x10-4 x Pabs,"8,750/range",,10060 - 10404
,"Gas Pressure Measuring Instruments (absolute pressure, Pabs)                                 ",0 kPa to 15 kPa,> 1x10-3 x Pabs,"10,000/range",,10060 - 10405
,"Gas Pressure Measuring Instruments (absolute pressure, Pabs)                                 ",,< 1x10-3 x Pabs,"12,500/range",,10060 - 10406
,Mercury Barometers,85 kPa to 105 kPa,Not smaller than 0.35 mbar,"6,250/range",Cistern type,10060 - 10501
,Mercury Barometers,85 kPa to 105 kPa,Not smaller than 0.35 mbar,"7,500/range",Fortin type,10060 - 10502
,"Hydraulic Pressure Measuring Instruments (gauge pressure, Pe)",up to 200 MPa,> 6x10-3 x Pe,"5,000/range",,10060 - 10601
,"Hydraulic Pressure Measuring Instruments (gauge pressure, Pe)",,6x10-3 x Pe to 1x10-3 x Pe,"7,500/range",,10060 - 10602
,"Hydraulic Pressure Measuring Instruments (gauge pressure, Pe)",,< 1 x 10-3 x Pe,"10,000/range",,10060 - 10603
,"Hydraulic Pressure Measuring Instruments (gauge pressure, Pe)",> 200 MPa to 500 MPa,> 1 x 10-3 x Pe,"8,750/range",,10060 - 10604
,"Hydraulic Pressure Measuring Instruments (gauge pressure, Pe)",,< 1 x 10-3 x Pe,"11,250/range",,10060 - 10605
