ลำดับ,ส่วนราชการ,เบอร์โทรศัพท์,หมายเลขโทรสาร,หมายเหตุ
1,กรมสรรพากร,0-2272-8000,0-2617-3315,
2,RD Intelligence Center,"1161,0-2272-9850",0-2272-9861,
3,สำนักงานเลขานุการกรม,"0-2272-8311,0-2272-8137 , 0-2272-8310",0-2617-3244,
4,กองกฎหมาย,"0-2272-8403,0-2272-8288 , 0-2272-9057",0-2617-3392,ย้ายไปสำนักงบประมาณ 
,,,,email : legal@rd.go.th
5,กองตรวจสอบภาษีกลาง,0-2617-3476,0-2617-3459,
6,กองเทคโนโลยีสารสนเทศ,0-2272-8736,0-2617-3731,
7,กองบริหารการคลังและรายได้,0-2272-8372,0-2617-3382,
8,กองบริหารการเสียภาษีทางอิเล็กทรอนิกส์,02-272-9238,0-2617-3555,
9,กองบริหารทรัพยากรบุคคล,"0-2272-8520,0-2272-8052,0-2272-8976 , 0-2617-3527",0-2617-3515,อาคารที่พัก  0-2272-8080 กดต่อ
,,,,เบอร์ 4405 และ 4407
10,กองบริหารภาษีธุรกิจขนาดใหญ่,"0-2272-8684,0-2272-9255",0-2617-3691,อาคารจอดรถชั้น 7
11,กองมาตรฐานการกำกับและตรวจสอบภาษี,"0-2272-9803,0-2272-9804",,อาคารที่พัก ชั้น 6
12,กองมาตรฐานการจัดเก็บภาษี,"0-2272-8576,0-2272-8579",,อาคารจอดรถชั้น 2
13,กองมาตรฐานการสอบบัญชีภาษีอากร,0-2272-9897,,ย้ายไปสำนักงบประมาณชั้น 3
14,กองวิชาการแผนภาษี,"0 2272 8635,0-2272-9017",0-2617-3632,
15,กองสืบสวนและคดี,"0-2272-9209,0-2272-9202",0-2617-3423,ย้ายไปสำนักงบประมาณ
16,กองอุทธรณ์ภาษี,"0-2617-3285,0-2617-3414-5,0-2617-3417-19",0-2617-3418,ย้ายไปสำนักงบประมาณอาคาร 5 ชั้น 4
17,กลุ่มพัฒนาระบบบริหาร,0-2272-8056,0-2617-3671,
18,กลุ่มตรวจสอบภายใน,0-2272-8481,0-2617-3484,
19,กลุ่มบริหารการคืนภาษีมูลค่าเพิ่มให้แก่นักท่องเที่ยว,"0-2272-9385,0-2272-9387,0-2272-9678",0-2617-3559,
20,งานตรวจราชการ 1,"0-2272-8982,0-2272-8485",0-2617-3486,ย้ายไปสำนักงบประมาณ
21,งานตรวจราชการ 2,"0-2617-3491, 0-2272-8055,0-2272-3490",0-2272-8055,
22,งานตรวจราชการ 3,"0-2272-8054,0-2272-8492,0-2617-3493",0-2617-3488,
23,งานตรวจราชการ 4,0-2272-9117,0-2617-3492,
24,งานตรวจราชการ 5,"0-2272-9633,0-2272-9632",0-2272-9623,
25,งานตรวจราชการ 6,"0-2272-9620,0-2272-9621",0-2272-9611,
26,กองสำรวจและติดตามธุรกิจนอกระบบ,0-2272-8962,0-2617-3422,
27,สรรพากรภาค 1,0-2272-9086** IP PHONE  1202,0-2617-3616,
28,สรรพากรภาค 2,0-2718-0651,0-2319-3930,
29,สรรพากรภาค 3,0-2281-0051,0-2281-5766,
30,สรรพากรภาค 4,0-2525-4831,0-2525-4844,
31,สรรพากรภาค 5,0-3828-3010,0-3827-5452,
32,สรรพากรภาค 6,"0-3424-2355 ,0-3421-3593-6",0-3427-1531,
33,สรรพากรภาค 7,0-5525-9911,0-5524-4763,
